"X1","X2","X3","X4","X5","cus_id"
"DELIPICK.","CHIPS.AHOY","OREO","FLORBÚ","BALCONI","13069651"
"CARR.S","CHIPS.AHOY","SNAPPY","BELVITA","FILIPINOS","13079908"
"DAN.CAKE","TRIUNFO","FLORBÚ","OREO","LA.BURGALESA","13099817"
"OREO","DULCA","ARTIACH","DISNEY","GRAN.PAVESI","13149827"
"BALCONI","MARILAN","CHIPS.AHOY","CARR.S","DU.BOIS.DE.LA.ROCHE","13169822"
"OREO","SABOROSA","FRUTOP","BALCONI","MILKA","13269913"
"FRUTOP","INSULAR","SABOROSA","OREO","BALCONI","13359664"
"BALCONI","PROALIMENTAR","DULCA","LA.BURGALESA","CHIPS.AHOY","13359824"
"INSULAR","FRUTOP","MARILAN","DAILIDOCE","CHIPS.AHOY","13379843"
"MARILAN","PROALIMENTAR","BELVITA","LA.BURGALESA","CHIPS.AHOY","13399563"
"CHIPS.AHOY","BALCONI","NUTELLA","SABOROSA","JACOBS","13439985"
"LA.BURGALESA","NACIONAL","TRIUNFO","FRUTOP","OREO","13479847"
"CUETARA","BALCONI","MARILAN","CHIPS.AHOY","NUTELLA","13559676"
"BAHLSEN","CHIPS.AHOY","CARR.S","SNAPPY","BELVITA","13559834"
"INSULAR","GULLON","NACIONAL","CHIPS.AHOY","MARILAN","13589918"
"LAMBERTZ","PROALIMENTAR","CHIPS.AHOY","BAUDUCCO","BELVITA","13649822"
"FLORBÚ","DISNEY","FRUTOP","SNAPPY","CHIPS.AHOY","13679928"
"DELIPICK.","MILKA","VIEIRA..DE.CASTRO","CARR.S","OREO","13719671"
"FLORBÚ","SABOROSA","VIEIRA..DE.CASTRO","FRUTOP","CHIPS.AHOY","13889806"
"NACIONAL","BALCONI","CHIPS.AHOY","SABOROSA","LA.BURGALESA","13899534"
"VIEIRA..DE.CASTRO","DAILIDOCE","BELVITA","CHIPS.AHOY","DU.BOIS.DE.LA.ROCHE","13929537"
"FLORBÚ","CHIPS.AHOY","CARR.S","MARILAN","LAMBERTZ","13939792"
"JACOBS","OREO","DISNEY","DELIPICK.","CUETARA","13949603"
"CHIPS.AHOY","CARR.S","SNAPPY","PROALIMENTAR","DAILIDOCE","13949945"
"FILIPINOS","DELIPICK.","VIEIRA..DE.CASTRO","SABOROSA","OREO","13979913"
"MCVITIES","CHIPS.AHOY","BELVITA","CARR.S","LAMBERTZ","14029845"
"CHIPS.AHOY","NUTELLA","CARR.S","PROALIMENTAR","MARILAN","14099926"
"TRIUNFO","DAN.CAKE","OREO","FLORBÚ","DISNEY","14109606"
"GULLON","OREO","NACIONAL","LAMBERTZ","INSULAR","14159599"
"OREO","SABOROSA","VIEIRA..DE.CASTRO","BAHLSEN","FILIPINOS","14169929"
"CUETARA","MARILAN","NACIONAL","MCVITIES","CHIPS.AHOY","14189592"
"NUTELLA","CHIPS.AHOY","SNAPPY","JACOBS","PROALIMENTAR","14239708"
"OREO","NACIONAL","DELIPICK.","INSULAR","DULCA","14289700"
"BALCONI","NUTELLA","LAMBERTZ","OREO","SABOROSA","14429859"
"BALCONI","CUETARA","MARILAN","NACIONAL","CHIPS.AHOY","14459812"
"DULCA","DELIPICK.","OREO","NACIONAL","NUTELLA","14549652"
"JACOBS","NUTELLA","DAILIDOCE","DELIPICK.","CHIPS.AHOY","14559662"
"NACIONAL","CHIPS.AHOY","BALCONI","MARILAN","PROALIMENTAR","14669804"
"NUTELLA","FLORBÚ","CUETARA","CHIPS.AHOY","LAMBERTZ","14719985"
"NACIONAL","BALCONI","CHIPS.AHOY","DELIPICK.","FLORBÚ","14759822"
"FILIPINOS","GULLON","NACIONAL","FLORBÚ","OREO","15009613"
"BALCONI","DELIPICK.","CHIPS.AHOY","FILIPINOS","NACIONAL","15089542"
"DISNEY","NACIONAL","BALCONI","DELIPICK.","CHIPS.AHOY","15139814"
"FLORBÚ","FILIPINOS","NUTELLA","CHIPS.AHOY","DAN.CAKE","15149791"
"FLORBÚ","CHIPS.AHOY","JACOBS","NUTELLA","FRUTOP","15149959"
"FRUTOP","CHIPS.AHOY","FLORBÚ","NUTELLA","SABOROSA","15199829"
"FRUTOP","FLORBÚ","CHIPS.AHOY","SABOROSA","LAMBERTZ","15239611"
"FRUTOP","INSULAR","MARILAN","CHIPS.AHOY","FLORBÚ","15239877"
"BAHLSEN","FLORBÚ","DU.BOIS.DE.LA.ROCHE","NUTELLA","CHIPS.AHOY","15309821"
"NUTELLA","DELIPICK.","BAHLSEN","OREO","TUC","15369617"
